R1 R2 R3 RW LW 
R1 R2 R3 RW LW 
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
R1 R2 R3 RW LW 
1 2 3 3.12499991187e-05 7.42187493023e-09
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 -0.000278749999804 -1.04531249975e-08
1 2 3 -0.00124249985983 -5.90187477806e-07
1 2 3 -0.00143124991849 -4.8304686583e-07
1 2 3 -0.00219249998287 -2.74062499286e-07
1 2 3 -0.00146374999989 -1.82968749995e-08
1 2 3 -0.00146499999817 7.32499999695e-08
1 2 3 -0.00220624999569 1.3789062491e-07
1 2 3 -0.00220124999157 1.92609374754e-07
1 2 3 -0.00146624999897 5.49843749871e-08
1 2 3 -0.00219999999931 5.49999999943e-08
1 2 3 -0.00219749999931 -5.49374999943e-08
1 2 3 -0.00146874999989 -1.83593749995e-08
1 2 3 -0.00146874999989 -1.83593749995e-08
1 2 3 -0.00220249998279 -2.75312499283e-07
1 2 3 -0.00146249998355 -2.19374999177e-07
1 2 3 -0.00218999993156 -5.47499994297e-07
1 2 3 -0.00218749993164 -5.46874994303e-07
1 2 3 -0.00146124998071 -2.37453123955e-07
1 2 3 -0.00218874992459 -5.74546868402e-07
1 2 3 -0.00218874990954 -6.29265616331e-07
1 2 3 -0.0014599999708 -2.91999998053e-07
1 2 3 -0.00218874989313 -6.83984363867e-07
1 2 3 -0.00219249993148 -5.4812499429e-07
1 2 3 -0.00146749998854 -1.83437499522e-07
1 2 3 -0.00220624997914 -3.03359374044e-07
1 2 3 -0.00221499996608 -3.87624998022e-07
1 2 3 -0.00147499999263 -1.47499999754e-07
1 2 3 -0.00220624995019 -4.68828121471e-07
1 2 3 -0.00219749990111 -6.59249990111e-07
1 2 3 -0.00146374995872 -3.47640621732e-07
1 2 3 -0.00219499988408 -7.13374987442e-07
1 2 3 -0.00219249990134 -6.57749990134e-07
1 2 3 -0.00146499997757 -2.56374998691e-07
1 2 3 -0.00219624989276 -6.86328113829e-07
1 2 3 -0.00219749993133 -5.49374994277e-07
1 2 3 -0.00146624997423 -2.74921873389e-07
1 2 3 -0.0022012499503 -4.6776562148e-07
1 2 3 -0.00221124999154 -1.93484374753e-07
1 2 3 -0.00147999999954 -3.69999999961e-08
1 2 3 -0.00220874999569 -1.3804687491e-07
1 2 3 -0.00219874997097 -3.57296873428e-07
1 2 3 -0.00147624998604 -2.0298437436e-07
1 2 3 -0.00221499997508 -3.32249998754e-07
1 2 3 -0.00219374999846 8.22656249806e-08
1 2 3 -0.0014725 -0.0
1 2 3 -0.00221624999844 8.31093749806e-08
R1 R2 R3 RW LW 
1 2 3 -0.0954153583622 -0.000639292467002
1 2 3 0.0 0.0
1 2 3 0.0 0.0
1 2 3 0.0 0.0
